,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_module__strides,param_module__residual,param_module__n_filters,param_module__kernel_sizes,param_module__fully_connected_features,param_module__adaptive_average_len,param_lr,param_iterator_train__batch_size,param_criterion__weight,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1_score,split1_test_f1_score,split2_test_f1_score,split3_test_f1_score,mean_test_f1_score,std_test_f1_score,rank_test_f1_score
0,20.62829840183258,1.9348885730534051,0.0844491720199585,0.0008877765509344869,"[2, 1, 1, 1, 1]",True,"[32, 48, 48, 48, 64]","[9, 7, 7, 7, 5]",128,8,0.0008,256,"tensor([1., 1.])","{'module__strides': [2, 1, 1, 1, 1], 'module__residual': False, 'module__n_filters': [32, 48, 48, 48, 64], 'module__kernel_sizes': [9, 7, 7, 7, 5], 'module__fully_connected_features': 128, 'module__adaptive_average_len': 8, 'lr': 0.0008, 'iterator_train__batch_size': 256, 'criterion__weight': tensor([1., 1.])}",0.9927859841978701,0.9948453608247423,0.9951890034364261,0.9938144329896907,0.9941586953621824,0.0009401990091285961,1,0.9910231120612422,0.9936015934304415,0.9939894660745636,0.9922957400355001,0.9927274779004369,0.0011670424809390072,1
1,14.332300007343292,3.1149905723357794,0.06317079067230225,0.00012104909479677393,"[2, 2, 1, 1, 1]",True,"[32, 48, 48, 48, 64]","[13, 9, 9, 9, 7]",256,8,0.0002,256,"tensor([1., 1.])","{'module__strides': [2, 2, 1, 1, 1], 'module__residual': True, 'module__n_filters': [32, 48, 48, 48, 64], 'module__kernel_sizes': [13, 9, 9, 9, 7], 'module__fully_connected_features': 256, 'module__adaptive_average_len': 8, 'lr': 0.0002, 'iterator_train__batch_size': 256, 'criterion__weight': tensor([1., 1.])}",0.9890072140158022,0.9896907216494846,0.9872852233676976,0.9890034364261169,0.9887466488647754,0.000888942061656272,13,0.9863053493112098,0.987149791334985,0.9841089195054121,0.9862510807784439,0.9859537852325126,0.0011231587255639902,14
2,14.34606820344925,3.5473559003326587,0.0550844669342041,0.0015083532234248449,"[2, 2, 1, 1, 1]",True,"[16, 24, 24, 24, 32]","[7, 5, 5, 5, 3]",128,8,0.0002,256,"tensor([1., 1.])","{'module__strides': [2, 2, 1, 1, 1], 'module__residual': True, 'module__n_filters': [16, 24, 24, 24, 32], 'module__kernel_sizes': [7, 5, 5, 5, 3], 'module__fully_connected_features': 128, 'module__adaptive_average_len': 8, 'lr': 0.0002, 'iterator_train__batch_size': 256, 'criterion__weight': tensor([1., 1.])}",0.9776709034695981,0.9845360824742269,0.9804123711340206,0.9835051546391752,0.9815311279292552,0.0026962697803930113,22,0.9725029235125979,0.9807758116108813,0.9753668573964251,0.9794082404777855,0.9770134582494225,0.003276679062669883,22
3,21.884492576122284,6.464629981481913,0.08893156051635742,0.0023140706414282943,"[2, 2, 1, 1, 1]",False,"[64, 96, 96, 96, 128]","[7, 5, 5, 5, 3]",128,8,0.0002,256,"tensor([1., 1.])","{'module__strides': [2, 2, 1, 1, 1], 'module__residual': False, 'module__n_filters': [64, 96, 96, 96, 128], 'module__kernel_sizes': [7, 5, 5, 5, 3], 'module__fully_connected_features': 128, 'module__adaptive_average_len': 8, 'lr': 0.0002, 'iterator_train__batch_size': 256, 'criterion__weight': tensor([1., 1.])}",0.990724836825833,0.9893470790378007,0.9900343642611684,0.9920962199312715,0.9905506250140184,0.0010166441714554494,9,0.9884142223943941,0.9867265055395982,0.9875639028095204,0.9901368884351369,0.9882103797946624,0.0012622205279238068,9
4,19.375537991523743,2.7795496898469225,0.10495084524154663,0.0012609960832156574,"[2, 1, 1, 1, 1]",False,"[32, 48, 48, 48, 64]","[13, 9, 9, 9, 7]",64,8,0.0008,256,"tensor([1., 1.])","{'module__strides': [2, 1, 1, 1, 1], 'module__residual': False, 'module__n_filters': [32, 48, 48, 48, 64], 'module__kernel_sizes': [13, 9, 9, 9, 7], 'module__fully_connected_features': 64, 'module__adaptive_average_len': 8, 'lr': 0.0008, 'iterator_train__batch_size': 256, 'criterion__weight': tensor([1., 1.])}",0.9917554105118516,0.9951890034364261,0.9945017182130584,0.9934707903780069,0.9937292306348358,0.0012932933672429527,2,0.9897133447354658,0.9939986600837536,0.9931465553786587,0.991852212185548,0.9921776930958566,0.0016150515129852152,2
5,26.832242965698242,1.256560922399798,0.08843338489532471,0.0035856440206246394,"[2, 1, 1, 1, 1]",False,"[32, 48, 48, 48, 64]","[7, 5, 5, 5, 3]",128,16,0.0002,256,"tensor([1., 1.])","{'module__strides': [2, 1, 1, 1, 1], 'module__residual': False, 'module__n_filters': [32, 48, 48, 48, 64], 'module__kernel_sizes': [7, 5, 5, 5, 3], 'module__fully_connected_features': 128, 'module__adaptive_average_len': 16, 'lr': 0.0002, 'iterator_train__batch_size': 256, 'criterion__weight': tensor([1., 1.])}",0.9890072140158022,0.9920962199312715,0.9883161512027492,0.9900343642611684,0.9898634873527479,0.0014266873232850522,11,0.9862844596472877,0.9901519234648632,0.9854253173462586,0.9875733959645564,0.9873587741057415,0.0017846675097252947,11
6,11.981020152568817,2.3569883826801847,0.05842626094818115,0.0004647381912360491,"[2, 2, 1, 1, 1]",False,"[32, 48, 48, 48, 64]","[9, 7, 7, 7, 5]",128,8,0.0002,256,"tensor([1., 1.])","{'module__strides': [2, 2, 1, 1, 1], 'module__residual': False, 'module__n_filters': [32, 48, 48, 48, 64], 'module__kernel_sizes': [9, 7, 7, 7, 5], 'module__fully_connected_features': 128, 'module__adaptive_average_len': 8, 'lr': 0.0002, 'iterator_train__batch_size': 256, 'criterion__weight': tensor([1., 1.])}",0.983167296461697,0.9917525773195877,0.9876288659793815,0.9917525773195877,0.9885753292700634,0.0035472673268795024,15,0.9790220877022304,0.9897198330679882,0.9845086051474727,0.9897119887150061,0.9857406286581744,0.0044233031476402845,15
7,9.462287187576294,1.654345355007538,0.05897986888885498,0.0005766763520777913,"[2, 2, 1, 1, 1]",True,"[16, 24, 24, 24, 32]","[13, 9, 9, 9, 7]",256,8,0.0002,256,"tensor([1., 1.])","{'module__strides': [2, 2, 1, 1, 1], 'module__residual': True, 'module__n_filters': [16, 24, 24, 24, 32], 'module__kernel_sizes': [13, 9, 9, 9, 7], 'module__fully_connected_features': 256, 'module__adaptive_average_len': 8, 'lr': 0.0002, 'iterator_train__batch_size': 256, 'criterion__weight': tensor([1., 1.])}",0.9811061490896599,0.9848797250859107,0.9821305841924398,0.9776632302405498,0.9814449221521401,0.002582826190890363,23,0.9766472474878343,0.9812383948834331,0.9776062283454359,0.9721472668171092,0.9769097843834531,0.0032393055677110497,23
8,26.69929826259613,5.9760717278050315,0.12285071611404419,0.0023023238579346,"[2, 2, 1, 1, 1]",True,"[64, 96, 96, 96, 128]","[13, 9, 9, 9, 7]",64,8,0.0002,256,"tensor([1.7981, 0.6926])","{'module__strides': [2, 2, 1, 1, 1], 'module__residual': True, 'module__n_filters': [64, 96, 96, 96, 128], 'module__kernel_sizes': [13, 9, 9, 9, 7], 'module__fully_connected_features': 64, 'module__adaptive_average_len': 8, 'lr': 0.0002, 'iterator_train__batch_size': 256, 'criterion__weight': tensor([1.7981, 0.6926])}",0.9883201648917898,0.99106529209622,0.9883161512027492,0.9900343642611684,0.9894339931129819,0.0011738575010286736,12,0.9854934178512423,0.9888800705467372,0.9854475089559449,0.9875639028095204,0.9868462250408612,0.0014524189219959757,12
9,14.088055491447449,1.3126170255074265,0.05845296382904053,0.0007509206242557394,"[2, 2, 1, 1, 1]",True,"[32, 48, 48, 48, 64]","[7, 5, 5, 5, 3]",128,8,0.0002,256,"tensor([1.7981, 0.6926])","{'module__strides': [2, 2, 1, 1, 1], 'module__residual': True, 'module__n_filters': [32, 48, 48, 48, 64], 'module__kernel_sizes': [7, 5, 5, 5, 3], 'module__fully_connected_features': 128, 'module__adaptive_average_len': 8, 'lr': 0.0002, 'iterator_train__batch_size': 256, 'criterion__weight': tensor([1.7981, 0.6926])}",0.9872895912057712,0.9879725085910653,0.9876288659793815,0.9869415807560138,0.9874581366330579,0.000383720131100958,17,0.9840987789925599,0.9851039237157089,0.9846031746031747,0.9837846017945158,0.9843976197764899,0.0005015513188331717,17
